,Data Value,Type,Location,Time Period
68,0.3,Boiler Emissions- Total SO2 Emissions,Williamsburg - Bushwick,2015
69,0.3,Boiler Emissions- Total SO2 Emissions,Southeast Queens,2013
70,0.3,Boiler Emissions- Total PM2.5 Emissions,East Flatbush - Flatbush,2013
71,0.3,Boiler Emissions- Total PM2.5 Emissions,Queens,2013
72,0.3,Boiler Emissions- Total PM2.5 Emissions,Northeast Bronx,2013
73,0.3,Boiler Emissions- Total SO2 Emissions,Williamsburg - Bushwick,2013
74,0.3,Boiler Emissions- Total SO2 Emissions,Southeast Queens,2015
75,0.3,Boiler Emissions- Total PM2.5 Emissions,Ridgewood - Forest Hills,2013
76,0.3,Boiler Emissions- Total PM2.5 Emissions,Hunts Point - Mott Haven,2015
77,0.4,Boiler Emissions- Total SO2 Emissions,Greenpoint,2013
78,0.4,Boiler Emissions- Total PM2.5 Emissions,Pelham - Throgs Neck,2015
79,0.4,Annual vehicle miles traveled (trucks),Rockaways,2010
80,0.4,Boiler Emissions- Total PM2.5 Emissions,Fresh Meadows,2015
81,0.4,Boiler Emissions- Total SO2 Emissions,Stapleton - St. George,2013
82,0.4,Boiler Emissions- Total PM2.5 Emissions,Flushing - Clearview,2015
83,0.4,Boiler Emissions- Total PM2.5 Emissions,Hunts Point - Mott Haven,2013
84,0.4,Boiler Emissions- Total SO2 Emissions,Jamaica,2015
85,0.5,Annual vehicle miles traveled (trucks),Rockaways,2005
86,0.5,Boiler Emissions- Total SO2 Emissions,Sunset Park,2015
87,0.5,Boiler Emissions- Total PM2.5 Emissions,Fresh Meadows,2013
88,0.5,Boiler Emissions- Total SO2 Emissions,Southwest Queens,2015
89,0.5,Boiler Emissions- Total PM2.5 Emissions,Pelham - Throgs Neck,2013
90,0.5,Boiler Emissions- Total PM2.5 Emissions,New York City,2015
91,0.5,Boiler Emissions- Total SO2 Emissions,Jamaica,2013
92,0.5,Annual vehicle miles traveled (trucks),Tottenville and Great Kills (CD3),2010
93,0.5,Annual vehicle miles traveled (trucks),South Beach - Tottenville,2010
94,0.5,Annual vehicle miles traveled (trucks),Rockaway and Broad Channel (CD14),2005
95,0.5,Annual vehicle miles traveled (trucks),Coney Island (CD13),2010
96,0.6,Outdoor Air Toxics - Benzene,South Beach - Tottenville,2014
97,0.6,Outdoor Air Toxics - Benzene,Rockaways,2014
98,0.6,Annual vehicle miles traveled (trucks),Rockaways,2019
99,0.6,Annual vehicle miles traveled (trucks),Port Richmond,2005
100,0.6,Annual vehicle miles traveled (trucks),Canarsie - Flatlands,2010
101,0.6,Outdoor Air Toxics - Benzene,Staten Island,2014
102,0.6,Annual vehicle miles traveled (trucks),Rockaway and Broad Channel (CD14),2019
103,0.6,Boiler Emissions- Total PM2.5 Emissions,Flushing - Clearview,2013
104,0.6,Asthma hospitalizations due to Ozone,Greenwich Village - SoHo,2015-2017
105,0.7,Outdoor Air Toxics - Benzene,Stapleton - St. George,2014
106,0.7,Boiler Emissions- Total PM2.5 Emissions,East Harlem,2015
107,0.7,Boiler Emissions- Total PM2.5 Emissions,New York City,2013
108,0.7,Annual vehicle miles traveled (trucks),Coney Island - Sheepshead Bay,2010
109,0.7,Annual vehicle miles traveled (trucks),Bushwick (CD4),2010
110,0.7,Boiler Emissions- Total SO2 Emissions,Coney Island - Sheepshead Bay,2015
111,0.7,Outdoor Air Toxics - Benzene,Willowbrook,2014
112,0.7,Boiler Emissions- Total SO2 Emissions,Brooklyn,2015
113,0.7,Outdoor Air Toxics - Benzene,Port Richmond,2014
114,0.7,Boiler Emissions- Total PM2.5 Emissions,Long Island City - Astoria,2015
115,0.7,Annual vehicle miles traveled (trucks),Tottenville and Great Kills (CD3),2019
116,0.7,Asthma hospitalizations due to Ozone,Upper East Side,2015-2017
117,0.7,Annual vehicle miles traveled (trucks),South Beach - Tottenville,2005
118,0.7,Annual vehicle miles traveled (trucks),South Beach - Tottenville,2019
119,0.7,Annual vehicle miles traveled (trucks),Coney Island (CD13),2019
120,0.7,Annual vehicle miles traveled (trucks),Flatlands and Canarsie (CD18),2010
121,0.7,Annual vehicle miles traveled (trucks),Tottenville and Great Kills (CD3),2005
122,0.8,Outdoor Air Toxics - Benzene,Southeast Queens,2014
123,0.8,Outdoor Air Toxics - Benzene,Rockaways,2011
124,0.8,Annual vehicle miles traveled (trucks),Canarsie - Flatlands,2019
125,0.8,Boiler Emissions- Total PM2.5 Emissions,Long Island City - Astoria,2013
126,0.8,Boiler Emissions- Total SO2 Emissions,Downtown - Heights - Slope,2013
127,0.8,Outdoor Air Toxics - Benzene,Rockaway and Broad Channel (CD14),2011
128,0.8,Outdoor Air Toxics - Benzene,Jamaica,2014
129,0.8,Outdoor Air Toxics - Benzene,Southwest Queens,2014
130,0.8,Annual vehicle miles traveled (trucks),Williamsburg - Bushwick,2010
131,0.8,Outdoor Air Toxics - Benzene,Queens,2014
132,0.8,Boiler Emissions- Total SO2 Emissions,Southwest Queens,2013
133,0.8,Annual vehicle miles traveled (trucks),Borough Park (CD12),2010
134,0.8,Boiler Emissions- Total SO2 Emissions,Brooklyn,2013
135,0.9,Outdoor Air Toxics - Benzene,East New York,2014
136,0.9,Outdoor Air Toxics - Benzene,Lower Manhattan,2014
137,0.9,Outdoor Air Toxics - Benzene,Kingsbridge - Riverdale,2014
138,0.9,Outdoor Air Toxics - Benzene,Northeast Bronx,2014
139,0.9,Outdoor Air Toxics - Benzene,Sunset Park,2014
140,0.9,Outdoor Air Toxics - Benzene,Flushing - Clearview,2014
141,0.9,Outdoor Air Toxics - Benzene,Fresh Meadows,2014
142,0.9,Boiler Emissions- Total SO2 Emissions,Coney Island - Sheepshead Bay,2013
143,0.9,Boiler Emissions- Total PM2.5 Emissions,Bronx,2015
144,0.9,Boiler Emissions- Total SO2 Emissions,Bayside - Little Neck,2015
145,0.9,Outdoor Air Toxics - Benzene,Greenwich Village - SoHo,2014
146,0.9,Outdoor Air Toxics - Benzene,Brooklyn,2014
147,0.9,Asthma hospitalizations due to Ozone,Greenwich Village - SoHo,2012-2014
148,0.9,Outdoor Air Toxics - Benzene,Manhattan,2014
149,0.9,Outdoor Air Toxics - Benzene,New York City,2014
150,0.9,Boiler Emissions- Total SO2 Emissions,Bedford Stuyvesant - Crown Heights,2013
151,0.9,Outdoor Air Toxics - Benzene,Bayside - Little Neck,2014
152,0.9,Outdoor Air Toxics - Benzene,Bronx,2014
153,0.9,Outdoor Air Toxics - Benzene,Canarsie - Flatlands,2014
154,1.0,Outdoor Air Toxics - Benzene,Bensonhurst - Bay Ridge,2014
155,1.0,Outdoor Air Toxics - Benzene,East Harlem,2014
156,1.0,Asthma hospitalizations due to Ozone,Greenwich Village - SoHo,2009-2011
157,1.0,Outdoor Air Toxics - Benzene,Bedford Stuyvesant - Crown Heights,2014
158,1.0,Outdoor Air Toxics - Benzene,Upper East Side,2014
159,1.0,Outdoor Air Toxics - Benzene,Union Square - Lower East Side,2014
160,1.0,Outdoor Air Toxics - Benzene,South Beach - Tottenville,2011
161,1.0,Asthma hospitalizations due to Ozone,Borough Park,2017-2019
162,1.0,Outdoor Air Toxics - Benzene,Washington Heights,2014
163,1.0,Outdoor Air Toxics - Benzene,Coney Island - Sheepshead Bay,2014
164,1.0,Asthma hospitalizations due to Ozone,Bensonhurst - Bay Ridge,2017-2019
165,1.0,Asthma hospitalizations due to Ozone,Upper East Side,2017-2019
166,1.0,Asthma hospitalizations due to Ozone,Ridgewood - Forest Hills,2017-2019
167,1.0,Asthma hospitalizations due to Ozone,Greenpoint,2015-2017
168,1.0,Asthma hospitalizations due to Ozone,Flushing - Clearview,2017-2019
169,1.0,Asthma hospitalizations due to Ozone,Gramercy Park - Murray Hill,2017-2019
170,1.0,Asthma hospitalizations due to Ozone,South Beach - Tottenville,2017-2019
171,1.0,Outdoor Air Toxics - Benzene,Pelham - Throgs Neck,2014
172,1.0,Boiler Emissions- Total SO2 Emissions,Bedford Stuyvesant - Crown Heights,2015
173,1.0,Annual vehicle miles traveled (trucks),Flatlands and Canarsie (CD18),2019
174,1.0,Asthma hospitalizations due to Ozone,Long Island City - Astoria,2017-2019
175,1.0,Outdoor Air Toxics - Benzene,Ridgewood - Forest Hills,2014
176,1.0,Annual vehicle miles traveled (trucks),Jamaica,2010
177,1.0,Asthma hospitalizations due to Ozone,Chelsea - Clinton,2017-2019
178,1.0,Asthma hospitalizations due to Ozone,Gramercy Park - Murray Hill,2015-2017
179,1.0,Outdoor Air Toxics - Benzene,Upper West Side,2014
180,1.0,Outdoor Air Toxics - Benzene,East Flatbush - Flatbush,2014
181,1.0,Outdoor Air Toxics - Benzene,South Beach and Willowbrook (CD2),2011
182,1.0,Asthma hospitalizations due to Ozone,Lower Manhattan,2017-2019
183,1.0,Outdoor Air Toxics - Benzene,Borough Park,2014
184,1.0,Annual vehicle miles traveled (trucks),Sheepshead Bay (CD15),2010
185,1.0,Asthma hospitalizations due to Ozone,Southeast Queens,2017-2019
186,1.0,Annual vehicle miles traveled (trucks),Bensonhurst (CD11),2010
187,1.0,Annual vehicle miles traveled (trucks),Morris Park and Bronxdale (CD11),2010
188,1.0,Annual vehicle miles traveled (trucks),South Crown Heights and Lefferts Gardens (CD9),2010
189,1.0,Outdoor Air Toxics - Benzene,Central Harlem - Morningside Heights,2014
190,1.0,Outdoor Air Toxics - Benzene,Crotona -Tremont,2014
191,1.0,Outdoor Air Toxics - Benzene,Fordham - Bronx Pk,2014
192,1.0,Asthma hospitalizations due to Ozone,Upper West Side,2017-2019
193,1.0,Asthma hospitalizations due to Ozone,Greenpoint,2017-2019
194,1.0,Outdoor Air Toxics - Benzene,Williamsburg - Bushwick,2014
195,1.0,Outdoor Air Toxics - Benzene,Flatlands and Canarsie (CD18),2011
196,1.0,Annual vehicle miles traveled (trucks),Staten Island,2005
197,1.0,Outdoor Air Toxics - Benzene,Downtown - Heights - Slope,2014
198,1.1,Outdoor Air Toxics - Benzene,Hunts Point - Mott Haven,2014
199,1.1,Outdoor Air Toxics - Benzene,Gramercy Park - Murray Hill,2014
200,1.1,Outdoor Air Toxics - Formaldehyde,Rockaways,2014
201,1.1,Outdoor Air Toxics - Benzene,West Queens,2014
202,1.1,Annual vehicle miles traveled (trucks),Staten Island,2010
203,1.1,Outdoor Air Toxics - Benzene,Bronx,2011
204,1.1,Outdoor Air Toxics - Benzene,Chelsea - Clinton,2014
205,1.1,Outdoor Air Toxics - Benzene,Canarsie - Flatlands,2011
206,1.1,Outdoor Air Toxics - Benzene,Queens Village (CD13),2011
207,1.1,Outdoor Air Toxics - Benzene,Willowbrook,2011
208,1.1,Outdoor Air Toxics - Benzene,Greenpoint,2014
209,1.1,Outdoor Air Toxics - Benzene,Long Island City - Astoria,2014
210,1.1,Annual vehicle miles traveled (trucks),Coney Island - Sheepshead Bay,2019
211,1.1,Outdoor Air Toxics - Benzene,Stapleton - St. George,2011
212,1.1,Boiler Emissions- Total SO2 Emissions,West Queens,2015
213,1.1,Outdoor Air Toxics - Benzene,Southeast Queens,2011
214,1.1,Boiler Emissions- Total SO2 Emissions,Borough Park,2015
215,1.1,Outdoor Air Toxics - Benzene,South Beach - Tottenville,2005
216,1.1,Outdoor Air Toxics - Benzene,Tottenville and Great Kills (CD3),2011
217,1.1,Annual vehicle miles traveled (trucks),St. George and Stapleton (CD1),2005
218,1.1,Outdoor Air Toxics - Benzene,High Bridge - Morrisania,2014
219,1.1,Annual vehicle miles traveled (trucks),Port Richmond,2010
220,1.1,Annual vehicle miles traveled (trucks),Coney Island (CD13),2005
221,1.1,Asthma hospitalizations due to Ozone,Chelsea - Clinton,2015-2017
222,1.2,Boiler Emissions- Total SO2 Emissions,Downtown - Heights - Slope,2015
223,1.2,Outdoor Air Toxics - Benzene,Bayside and Little Neck (CD11),2011
224,1.2,Boiler Emissions- Total PM2.5 Emissions,Lower Manhattan,2015
225,1.2,Outdoor Air Toxics - Benzene,Port Richmond,2011
226,1.2,Asthma hospitalizations due to Ozone,Bayside - Little Neck,2015-2017
227,1.2,Outdoor Air Toxics - Benzene,Staten Island,2011
228,1.2,Annual vehicle miles traveled (trucks),Canarsie - Flatlands,2005
229,1.2,Annual vehicle miles traveled (trucks),East Flatbush - Flatbush,2010
230,1.2,Boiler Emissions- Total SO2 Emissions,Bensonhurst - Bay Ridge,2015
231,1.2,Annual vehicle miles traveled (trucks),Morris Park and Bronxdale (CD11),2005
232,1.2,Annual vehicle miles traveled (trucks),Bushwick (CD4),2005
233,1.2,Boiler Emissions- Total PM2.5 Emissions,Bronx,2013
234,1.2,Annual vehicle miles traveled (trucks),South Beach and Willowbrook (CD2),2005
235,1.2,Outdoor Air Toxics - Benzene,Bayside - Little Neck,2011
236,1.2,Outdoor Air Toxics - Benzene,Jamaica and Hollis (CD12),2011
237,1.2,Outdoor Air Toxics - Benzene,St. George and Stapleton (CD1),2011
238,1.3,Annual vehicle miles traveled (trucks),St. George and Stapleton (CD1),2010
239,1.3,Outdoor Air Toxics - Benzene,Pelham - Throgs Neck,2011
240,1.3,Outdoor Air Toxics - Benzene,Brownsville (CD16),2011
241,1.3,Outdoor Air Toxics - Benzene,Sunset Park,2011
242,1.3,Boiler Emissions- Total PM2.5 Emissions,Kingsbridge - Riverdale,2015
243,1.3,Annual vehicle miles traveled (trucks),Queens Village (CD13),2010
244,1.3,Annual vehicle miles traveled (trucks),Jamaica and Hollis (CD12),2010
245,1.3,Boiler Emissions- Total SO2 Emissions,Ridgewood - Forest Hills,2015
246,1.3,Outdoor Air Toxics - Benzene,Hunts Point and Longwood (CD2),2011
247,1.3,Outdoor Air Toxics - Benzene,Fresh Meadows,2011
248,1.3,Asthma hospitalizations due to Ozone,Greenwich Village - SoHo,2005-2007
249,1.3,Outdoor Air Toxics - Benzene,Jamaica,2011
250,1.3,Asthma hospitalizations due to Ozone,Upper East Side,2012-2014
251,1.3,Outdoor Air Toxics - Formaldehyde,Willowbrook,2014
252,1.3,Outdoor Air Toxics - Formaldehyde,Stapleton - St. George,2014
253,1.3,Outdoor Air Toxics - Formaldehyde,South Beach - Tottenville,2014
254,1.3,Outdoor Air Toxics - Benzene,Throgs Neck and Co-op City (CD10),2011
255,1.3,Outdoor Air Toxics - Benzene,South Ozone Park and Howard Beach (CD10),2011
256,1.3,Annual vehicle miles traveled (trucks),Central Harlem (CD10),2010
257,1.3,Outdoor Air Toxics - Benzene,Bedford Stuyvesant - Crown Heights,2011
258,1.3,Outdoor Air Toxics - Formaldehyde,Staten Island,2014
259,1.3,Outdoor Air Toxics - Benzene,Flushing and Whitestone (CD7),2011
260,1.3,Outdoor Air Toxics - Benzene,Stapleton - St. George,2005
261,1.3,Annual vehicle miles traveled (trucks),Sheepshead Bay (CD15),2019
262,1.3,Boiler Emissions- Total PM2.5 Emissions,East Harlem,2013
263,1.3,Outdoor Air Toxics - Formaldehyde,Southwest Queens,2014
264,1.3,Outdoor Air Toxics - Benzene,East New York and Starrett City (CD5),2011
265,1.3,Boiler Emissions- Total PM2.5 Emissions,Crotona -Tremont,2015
266,1.4,Outdoor Air Toxics - Benzene,Rockaways,2005
267,1.4,Outdoor Air Toxics - Benzene,Ridgewood and Maspeth (CD5),2011
268,1.4,Outdoor Air Toxics - Benzene,Williamsbridge and Baychester (CD12),2011
269,1.4,Outdoor Air Toxics - Benzene,Northeast Bronx,2011
270,1.4,Outdoor Air Toxics - Formaldehyde,Fresh Meadows,2014
271,1.4,Outdoor Air Toxics - Benzene,Parkchester and Soundview (CD9),2011
272,1.4,Outdoor Air Toxics - Benzene,Kew Gardens and Woodhaven (CD9),2011
273,1.4,Asthma hospitalizations due to Ozone,Upper East Side,2005-2007
274,1.4,Boiler Emissions- Total SO2 Emissions,Queens,2015
275,1.4,Annual vehicle miles traveled (trucks),Ridgewood - Forest Hills,2010
276,1.4,Outdoor Air Toxics - Benzene,Flushing - Clearview,2011
277,1.4,Outdoor Air Toxics - Benzene,South Crown Heights and Lefferts Gardens (CD9),2011
278,1.4,Annual vehicle miles traveled (trucks),Morris Park and Bronxdale (CD11),2019
279,1.4,Outdoor Air Toxics - Benzene,Williamsburg - Bushwick,2011
280,1.4,Outdoor Air Toxics - Benzene,Southwest Queens,2011
281,1.4,Outdoor Air Toxics - Formaldehyde,Jamaica,2014
282,1.4,Annual vehicle miles traveled (trucks),Staten Island,2019
283,1.4,Outdoor Air Toxics - Formaldehyde,Port Richmond,2014
284,1.4,Annual vehicle miles traveled (trucks),Port Richmond,2019
285,1.4,Asthma hospitalizations due to Ozone,Upper East Side,2009-2011
286,1.4,Outdoor Air Toxics - Benzene,Flatbush and Midwood (CD14),2011
287,1.4,Asthma hospitalizations due to Ozone,Flushing - Clearview,2015-2017
288,1.4,Outdoor Air Toxics - Benzene,Crown Heights and Prospect Heights (CD8),2011
289,1.4,Outdoor Air Toxics - Formaldehyde,Queens,2014
290,1.4,Outdoor Air Toxics - Formaldehyde,Southeast Queens,2014
291,1.4,Outdoor Air Toxics - Benzene,East Flatbush - Flatbush,2011
292,1.4,Asthma hospitalizations due to Ozone,Bensonhurst - Bay Ridge,2015-2017
293,1.4,Outdoor Air Toxics - Formaldehyde,Bayside - Little Neck,2014
294,1.4,Annual vehicle miles traveled (trucks),Bensonhurst (CD11),2019
295,1.4,Outdoor Air Toxics - Benzene,Bushwick (CD4),2011
296,1.4,Outdoor Air Toxics - Benzene,East New York,2011
297,1.4,Outdoor Air Toxics - Benzene,Morrisania and Crotona (CD3),2011
298,1.4,Outdoor Air Toxics - Benzene,Bedford Stuyvesant (CD3),2011
299,1.4,Annual vehicle miles traveled (trucks),South Beach and Willowbrook (CD2),2010
300,1.4,Outdoor Air Toxics - Benzene,Borough Park (CD12),2011
301,1.4,Annual vehicle miles traveled (trucks),Southeast Queens,2005
302,1.4,Annual vehicle miles traveled (trucks),Jamaica,2019
303,1.4,Annual vehicle miles traveled (trucks),Borough Park,2010
304,1.4,Outdoor Air Toxics - Benzene,Mott Haven and Melrose (CD1),2011
305,1.4,Outdoor Air Toxics - Formaldehyde,Rockaways,2011
306,1.4,Annual vehicle miles traveled (trucks),Willowbrook,2005
307,1.4,Outdoor Air Toxics - Benzene,Hillcrest and Fresh Meadows (CD8),2011
308,1.4,Outdoor Air Toxics - Benzene,Hunts Point - Mott Haven,2011
309,1.5,Asthma hospitalizations due to Ozone,Upper West Side,2015-2017
310,1.5,Outdoor Air Toxics - Formaldehyde,Kingsbridge - Riverdale,2014
311,1.5,Outdoor Air Toxics - Benzene,Ridgewood - Forest Hills,2011
312,1.5,Outdoor Air Toxics - Formaldehyde,Northeast Bronx,2014
313,1.5,Outdoor Air Toxics - Benzene,Borough Park,2011
314,1.5,Outdoor Air Toxics - Formaldehyde,Canarsie - Flatlands,2014
315,1.5,Outdoor Air Toxics - Formaldehyde,Flushing - Clearview,2014
316,1.5,Boiler Emissions- Total SO2 Emissions,Borough Park,2013
317,1.5,Outdoor Air Toxics - Benzene,Bay Ridge and Dyker Heights (CD10),2011
318,1.5,Outdoor Air Toxics - Benzene,Morris Park and Bronxdale (CD11),2011
319,1.5,Outdoor Air Toxics - Formaldehyde,Rockaway and Broad Channel (CD14),2011
320,1.5,Outdoor Air Toxics - Benzene,Sunset Park (CD7),2011
321,1.5,Outdoor Air Toxics - Formaldehyde,Manhattan,2014
322,1.5,Outdoor Air Toxics - Formaldehyde,Lower Manhattan,2014
323,1.5,Annual vehicle miles traveled (trucks),Flatbush and Midwood (CD14),2010
324,1.5,Asthma hospitalizations due to Ozone,Greenwich Village - SoHo,2015-2017
325,1.5,Annual vehicle miles traveled (trucks),Williamsburg - Bushwick,2005
326,1.5,Outdoor Air Toxics - Formaldehyde,East New York,2014
327,1.5,Outdoor Air Toxics - Formaldehyde,New York City,2014
328,1.5,Annual vehicle miles traveled (trucks),Stapleton - St. George,2005
329,1.5,Outdoor Air Toxics - Benzene,East Flatbush (CD17),2011
330,1.5,Annual vehicle miles traveled (trucks),East Flatbush (CD17),2010
331,1.5,Annual vehicle miles traveled (trucks),Stapleton - St. George,2010
332,1.5,Outdoor Air Toxics - Formaldehyde,Sunset Park,2014
333,1.5,Outdoor Air Toxics - Formaldehyde,Bensonhurst - Bay Ridge,2014
334,1.5,Outdoor Air Toxics - Benzene,Park Slope and Carroll Gardens (CD6),2011
335,1.5,Annual vehicle miles traveled (trucks),Flatlands and Canarsie (CD18),2005
336,1.6,Boiler Emissions- Total SO2 Emissions,Northeast Bronx,2015
337,1.6,Outdoor Air Toxics - Formaldehyde,Borough Park,2014
338,1.6,Outdoor Air Toxics - Formaldehyde,Ridgewood - Forest Hills,2014
339,1.6,Asthma hospitalizations due to Ozone,Borough Park,2015-2017
340,1.6,Outdoor Air Toxics - Formaldehyde,Downtown - Heights - Slope,2014
341,1.6,Outdoor Air Toxics - Formaldehyde,Upper West Side,2014
342,1.6,Outdoor Air Toxics - Formaldehyde,Greenwich Village - SoHo,2014
343,1.6,Boiler Emissions- Total PM2.5 Emissions,Central Harlem - Morningside Heights,2015
344,1.6,Outdoor Air Toxics - Formaldehyde,Bedford Stuyvesant - Crown Heights,2014
345,1.6,Outdoor Air Toxics - Formaldehyde,Crotona -Tremont,2014
346,1.6,Outdoor Air Toxics - Formaldehyde,Fordham - Bronx Pk,2014
347,1.6,Outdoor Air Toxics - Formaldehyde,Coney Island - Sheepshead Bay,2014
348,1.6,Outdoor Air Toxics - Formaldehyde,Pelham - Throgs Neck,2014
349,1.6,Outdoor Air Toxics - Benzene,Staten Island,2005
350,1.6,Annual vehicle miles traveled (trucks),Southeast Queens,2010
351,1.6,Annual vehicle miles traveled (trucks),East New York and Starrett City (CD5),2010
352,1.6,Annual vehicle miles traveled (trucks),South Ozone Park and Howard Beach (CD10),2010
353,1.6,Annual vehicle miles traveled (trucks),Brownsville (CD16),2010
354,1.6,Outdoor Air Toxics - Benzene,Willowbrook,2005
355,1.6,Outdoor Air Toxics - Formaldehyde,East Flatbush - Flatbush,2014
356,1.6,Outdoor Air Toxics - Formaldehyde,Bronx,2014
357,1.6,Annual vehicle miles traveled (trucks),Queens Village (CD13),2019
358,1.6,Outdoor Air Toxics - Benzene,High Bridge - Morrisania,2011
359,1.6,Outdoor Air Toxics - Benzene,Bensonhurst - Bay Ridge,2011
360,1.6,Outdoor Air Toxics - Benzene,Long Island City and Astoria (CD1),2011
361,1.6,Outdoor Air Toxics - Benzene,West Queens,2011
