,ESTIMATE,Demographic Category,Specific Category,Year,Age
48,0.1,Age,15-24 years,1999,15-24 years
49,0.1,Age,Under 15 years,2009,Under 15 years
50,0.1,Sex and age,Male: Under 15 years,2012,Under 15 years
51,0.1,Age,Under 15 years,2013,Under 15 years
52,0.1,Sex and age,Male: Under 15 years,2002,Under 15 years
53,0.1,Sex and age,Female: Under 15 years,2014,Under 15 years
54,0.1,Sex and age,Female: Under 15 years,2007,Under 15 years
55,0.1,Age,65-74 years,2002,65-74 years
56,0.1,Age,15-24 years,2001,15-24 years
57,0.1,Age,65-74 years,2012,65-74 years
58,0.1,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2003,All ages
59,0.1,Sex and age,Female: Under 15 years,2015,Under 15 years
60,0.1,Sex and age,Female: Under 15 years,2016,Under 15 years
61,0.1,Age,Under 15 years,2015,Under 15 years
62,0.1,Age,Under 15 years,2008,Under 15 years
63,0.1,Sex and age,Male: Under 15 years,2017,Under 15 years
64,0.1,Age,Under 15 years,2012,Under 15 years
65,0.1,Sex and age,Female: 15-24 years,2002,15-24 years
66,0.1,Sex and age,Male: Under 15 years,2014,Under 15 years
67,0.1,Age,Under 15 years,2008,Under 15 years
68,0.1,Age,Under 15 years,2010,Under 15 years
69,0.1,Age,Under 15 years,2003,Under 15 years
70,0.1,Age,Under 15 years,2014,Under 15 years
71,0.1,Age,Under 15 years,2017,Under 15 years
72,0.1,Age,Under 15 years,2007,Under 15 years
73,0.1,Sex and age,Female: Under 15 years,2018,Under 15 years
74,0.1,Age,Under 15 years,1999,Under 15 years
75,0.1,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2000,All ages
76,0.1,Age,65-74 years,2009,65-74 years
77,0.1,Age,Under 15 years,2006,Under 15 years
78,0.1,Sex and age,Male: Under 15 years,2008,Under 15 years
79,0.1,Sex and age,Male: 15-24 years,2000,15-24 years
80,0.1,Sex and age,Female: Under 15 years,2000,Under 15 years
81,0.1,Sex and age,Female: 15-24 years,2005,15-24 years
82,0.1,Sex and age,Female: Under 15 years,2017,Under 15 years
83,0.1,Sex and age,Female: Under 15 years,2003,Under 15 years
84,0.1,Sex and age,Male: Under 15 years,2006,Under 15 years
85,0.1,Sex and age,Male: Under 15 years,2016,Under 15 years
86,0.1,Sex and age,Male: Under 15 years,2018,Under 15 years
87,0.1,Age,Under 15 years,2016,Under 15 years
88,0.1,Age,Under 15 years,2011,Under 15 years
89,0.1,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2000,All ages
90,0.1,Sex and age,Female: Under 15 years,2013,Under 15 years
91,0.1,Age,Under 15 years,2000,Under 15 years
92,0.1,Sex and age,Male: Under 15 years,2007,Under 15 years
93,0.1,Sex and age,Male: Under 15 years,2009,Under 15 years
94,0.1,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2001,All ages
95,0.1,Sex and age,Male: Under 15 years,2001,Under 15 years
96,0.1,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2005,All ages
97,0.1,Sex and age,Male: Under 15 years,2010,Under 15 years
98,0.1,Age,Under 15 years,2002,Under 15 years
99,0.1,Sex and age,Female: Under 15 years,2006,Under 15 years
100,0.1,Sex and age,Male: Under 15 years,2015,Under 15 years
101,0.1,Sex and age,Male: Under 15 years,2013,Under 15 years
102,0.1,Sex and age,Female: 55-64 years,2004,55-64 years
103,0.1,Sex and age,Male: Under 15 years,2016,Under 15 years
104,0.1,Sex and age,Female: Under 15 years,2001,Under 15 years
105,0.1,Sex and age,Female: Under 15 years,1999,Under 15 years
106,0.1,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2002,All ages
107,0.1,Sex and age,Female: Under 15 years,2012,Under 15 years
108,0.1,Sex and age,Male: Under 15 years,2013,Under 15 years
109,0.1,Sex and age,Female: Under 15 years,2007,Under 15 years
110,0.1,Age,Under 15 years,2013,Under 15 years
111,0.1,Sex and age,Male: Under 15 years,2009,Under 15 years
112,0.1,Sex and age,Male: Under 15 years,2017,Under 15 years
113,0.1,Age,Under 15 years,2018,Under 15 years
114,0.1,Age,Under 15 years,2017,Under 15 years
115,0.1,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2003,All ages
116,0.1,Sex and age,Male: Under 15 years,2008,Under 15 years
117,0.1,Age,Under 15 years,2007,Under 15 years
118,0.1,Age,Under 15 years,2015,Under 15 years
119,0.1,Age,55-64 years,1999,55-64 years
120,0.1,Sex and race,Male: Black or African American,2000,All ages
121,0.1,Sex and age,Male: Under 15 years,2007,Under 15 years
122,0.1,Sex and age,Male: Under 15 years,2000,Under 15 years
123,0.1,Sex and age,Female: Under 15 years,2016,Under 15 years
124,0.1,Sex and age,Female: Under 15 years,2008,Under 15 years
125,0.1,Age,Under 15 years,2004,Under 15 years
126,0.1,Sex and age,Female: Under 15 years,2015,Under 15 years
127,0.1,Sex and age,Female: Under 15 years,2010,Under 15 years
128,0.1,Age,15-24 years,1999,15-24 years
129,0.1,Sex and race,Male: Black or African American,2002,All ages
130,0.2,Sex and age,Female: 55-64 years,2007,55-64 years
131,0.2,Sex and age,Female: 15-24 years,2007,15-24 years
132,0.2,Sex and age,Female: 15-24 years,2003,15-24 years
133,0.2,Sex and age,Female: Under 15 years,2006,Under 15 years
134,0.2,Sex and age,Female: 15-24 years,2012,15-24 years
135,0.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2004,All ages
136,0.2,Sex and age,Female: Under 15 years,2002,Under 15 years
137,0.2,Sex,Female,2006,All ages
138,0.2,Sex and age,Female: 15-24 years,2015,15-24 years
139,0.2,Age,75-84 years,2011,75-84 years
140,0.2,Age,75-84 years,2014,75-84 years
141,0.2,Age,Under 15 years,2017,Under 15 years
142,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2015,All ages
143,0.2,Age,65-74 years,2008,65-74 years
144,0.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2000,All ages
145,0.2,Sex,Female,2001,All ages
146,0.2,Sex,Female,1999,All ages
147,0.2,Age,75-84 years,2006,75-84 years
148,0.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,1999,All ages
149,0.2,Sex and age,Female: 65-74 years,2006,65-74 years
150,0.2,Sex and age,Female: 65-74 years,1999,65-74 years
151,0.2,Sex,Female,2002,All ages
152,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2013,All ages
153,0.2,Sex and race,Female: Black or African American,2001,All ages
154,0.2,Sex and race,Female: Asian or Pacific Islander,2018,All ages
155,0.2,Sex and age,Female: 65-74 years,2009,65-74 years
156,0.2,Sex,Female,2000,All ages
157,0.2,Sex and age,Male: Under 15 years,2003,Under 15 years
158,0.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2008,All ages
159,0.2,Sex and race,Female: Asian or Pacific Islander,2015,All ages
160,0.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2004,All ages
161,0.2,Age,75-84 years,2010,75-84 years
162,0.2,Age,15-24 years,2000,15-24 years
163,0.2,Sex,Female,1999,All ages
164,0.2,Sex and age,Female: 15-24 years,1999,15-24 years
165,0.2,Sex and age,Female: 25-34 years,2000,25-34 years
166,0.2,Sex and age,Female: Under 15 years,2005,Under 15 years
167,0.2,Sex and age,Female: 55-64 years,2008,55-64 years
168,0.2,Age,55-64 years,1999,55-64 years
169,0.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2000,All ages
170,0.2,Sex and age,Male: 65-74 years,2010,65-74 years
171,0.2,Sex and race,Male: Black or African American,2003,All ages
172,0.2,Sex and race,Female: Black or African American,2004,All ages
173,0.2,Age,Under 15 years,2003,Under 15 years
174,0.2,Sex and age,Male: Under 15 years,2015,Under 15 years
175,0.2,Sex,Female,2000,All ages
176,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2005,All ages
177,0.2,Age,65-74 years,2004,65-74 years
178,0.2,Age,65-74 years,2004,65-74 years
179,0.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2008,All ages
180,0.2,Sex and age,Male: Under 15 years,2014,Under 15 years
181,0.2,Age,75-84 years,2015,75-84 years
182,0.2,Sex and age,Male: Under 15 years,2000,Under 15 years
183,0.2,Sex and race,Male: Black or African American,2005,All ages
184,0.2,Age,Under 15 years,2013,Under 15 years
185,0.2,Sex and age,Female: 55-64 years,2001,55-64 years
186,0.2,Sex,Female,1999,All ages
187,0.2,Sex and age,Female: 15-24 years,2009,15-24 years
188,0.2,Sex,Female,1999,All ages
189,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2017,All ages
190,0.2,Sex and race,Female: White,2004,All ages
191,0.2,Sex and race,Male: Black or African American,2001,All ages
192,0.2,Sex and age,Male: 15-24 years,1999,15-24 years
193,0.2,Sex,Female,2006,All ages
194,0.2,Age,25-34 years,2000,25-34 years
195,0.2,Sex and age,Female: Under 15 years,2012,Under 15 years
196,0.2,Sex and age,Male: Under 15 years,2012,Under 15 years
197,0.2,Sex and age,Male: Under 15 years,2004,Under 15 years
198,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2004,All ages
199,0.2,Sex and age,Male: Under 15 years,2001,Under 15 years
200,0.2,Age,75-84 years,2001,75-84 years
201,0.2,Sex and race,Male: Asian or Pacific Islander,2011,All ages
202,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2010,All ages
203,0.2,Sex and age,Female: Under 15 years,2007,Under 15 years
204,0.2,Sex,Female,2000,All ages
205,0.2,Age,65-74 years,2011,65-74 years
206,0.2,Sex and race,Female: White,2000,All ages
207,0.2,Sex and age,Male: Under 15 years,2011,Under 15 years
208,0.2,Sex and race,Male: Black or African American,2004,All ages
209,0.2,Age,Under 15 years,2001,Under 15 years
210,0.2,Sex and age,Female: 65-74 years,2011,65-74 years
211,0.2,Age,Under 15 years,2010,Under 15 years
212,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2002,All ages
213,0.2,Sex,Female,2003,All ages
214,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2009,All ages
215,0.2,Sex and age,Female: Under 15 years,2018,Under 15 years
216,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2006,All ages
217,0.2,Sex and race,Female: Black or African American,2007,All ages
218,0.2,Sex and age,Male: Under 15 years,2006,Under 15 years
219,0.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2005,All ages
220,0.2,Sex and race,Female: Asian or Pacific Islander,2017,All ages
221,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2003,All ages
222,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,1999,All ages
223,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2007,All ages
224,0.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2001,All ages
225,0.2,Age,75-84 years,2012,75-84 years
226,0.2,Age,15-24 years,2002,15-24 years
227,0.2,Sex and race,Female: Black or African American,2005,All ages
228,0.2,Sex and race,Female: Black or African American,2008,All ages
229,0.2,Sex and age,Male: Under 15 years,2010,Under 15 years
230,0.2,Sex and age,Male: Under 15 years,2008,Under 15 years
231,0.2,Sex and age,Male: 55-64 years,2000,55-64 years
232,0.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2010,All ages
233,0.2,Sex and age,Male: 15-24 years,2001,15-24 years
234,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2001,All ages
235,0.2,Sex and age,Male: Under 15 years,2009,Under 15 years
236,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2001,All ages
237,0.2,Sex and age,Female: 65-74 years,2006,65-74 years
238,0.2,Age,75-84 years,1999,75-84 years
239,0.2,Sex and age,Female: 15-24 years,2001,15-24 years
240,0.2,Sex and race,Male: Asian or Pacific Islander,2012,All ages
241,0.2,Sex and age,Female: 65-74 years,2015,65-74 years
242,0.2,Sex and age,Male: 65-74 years,2007,65-74 years
243,0.2,Age,Under 15 years,2008,Under 15 years
244,0.2,Sex and race,Male: Black or African American,2007,All ages
245,0.2,Age,55-64 years,2000,55-64 years
246,0.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,1999,All ages
247,0.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2007,All ages
248,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2000,All ages
249,0.2,Sex and age,Male: Under 15 years,2016,Under 15 years
250,0.2,Sex and age,Female: 15-24 years,2016,15-24 years
251,0.2,Sex,Female,2004,All ages
252,0.2,Sex and race,Female: Black or African American,1999,All ages
253,0.2,Sex and age,Female: 65-74 years,2012,65-74 years
254,0.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2005,All ages
255,0.2,Age,Under 15 years,2009,Under 15 years
256,0.2,Sex and age,Male: Under 15 years,2002,Under 15 years
257,0.2,Sex,Female,2001,All ages
258,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2004,All ages
259,0.2,Sex and age,Female: 15-24 years,2018,15-24 years
260,0.2,Age,75-84 years,2009,75-84 years
261,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2002,All ages
262,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,1999,All ages
263,0.2,Sex,Female,2000,All ages
264,0.2,Sex and age,Male: 55-64 years,2000,55-64 years
265,0.2,Sex and age,Female: Under 15 years,2010,Under 15 years
266,0.2,Sex and age,Female: 65-74 years,2016,65-74 years
267,0.2,Sex and race,Female: White,2006,All ages
268,0.2,Sex and age,Female: Under 15 years,2016,Under 15 years
269,0.2,Age,Under 15 years,2007,Under 15 years
270,0.2,Age,65-74 years,2006,65-74 years
271,0.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2003,All ages
272,0.2,Sex and age,Female: 65-74 years,2010,65-74 years
273,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2004,All ages
274,0.2,Sex and age,Female: 15-24 years,2000,15-24 years
275,0.2,Sex and age,Male: Under 15 years,2005,Under 15 years
276,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,1999,All ages
277,0.2,Age,65-74 years,2005,65-74 years
278,0.2,Age,75-84 years,2007,75-84 years
279,0.2,Age,Under 15 years,2005,Under 15 years
280,0.2,Sex and race,Female: White,2002,All ages
281,0.2,Sex and race,Female: Black or African American,2000,All ages
282,0.2,Age,Under 15 years,2012,Under 15 years
283,0.2,Sex and age,Male: Under 15 years,2017,Under 15 years
284,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2008,All ages
285,0.2,Sex and age,Female: 55-64 years,2009,55-64 years
286,0.2,Sex,Female,2002,All ages
287,0.2,Age,65-74 years,2010,65-74 years
288,0.2,Sex and race,Female: Black or African American,2002,All ages
289,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2006,All ages
290,0.2,Sex and age,Female: Under 15 years,2008,Under 15 years
291,0.2,Sex and race,Female: Asian or Pacific Islander,2013,All ages
292,0.2,Sex,Female,1999,All ages
293,0.2,Age,Under 15 years,2006,Under 15 years
294,0.2,Sex and age,Male: Under 15 years,2013,Under 15 years
295,0.2,Sex and race,Female: White,1999,All ages
296,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2006,All ages
297,0.2,Sex and race,Female: White,1999,All ages
298,0.2,Sex and age,Female: 65-74 years,2008,65-74 years
299,0.2,Age,Under 15 years,2015,Under 15 years
300,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2011,All ages
301,0.2,Sex and race,Female: Asian or Pacific Islander,2015,All ages
302,0.2,Sex and age,Female: Under 15 years,2011,Under 15 years
303,0.2,Sex and race,Male: Asian or Pacific Islander,2014,All ages
304,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2007,All ages
305,0.2,Sex and race,Male: Black or African American,1999,All ages
306,0.2,Age,65-74 years,2007,65-74 years
307,0.2,Sex,Female,1999,All ages
308,0.2,Sex and age,Female: 15-24 years,2008,15-24 years
309,0.2,Age,Under 15 years,2011,Under 15 years
310,0.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2003,All ages
311,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2002,All ages
312,0.2,Sex and race,Male: Black or African American,2008,All ages
313,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2000,All ages
314,0.2,Sex,Female,2004,All ages
315,0.2,Age,65-74 years,2002,65-74 years
316,0.2,Sex and age,Female: 15-24 years,2017,15-24 years
317,0.2,Sex and race,Female: Asian or Pacific Islander,2016,All ages
318,0.2,Sex and race,Female: White,2001,All ages
319,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2001,All ages
320,0.2,Age,Under 15 years,2016,Under 15 years
321,0.2,Age,75-84 years,2005,75-84 years
322,0.2,Sex and age,Female: 65-74 years,2005,65-74 years
323,0.2,Sex and age,Female: Under 15 years,2004,Under 15 years
324,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2001,All ages
325,0.2,Sex and age,Male: Under 15 years,2018,Under 15 years
326,0.2,Age,65-74 years,2003,65-74 years
327,0.2,Age,Under 15 years,2014,Under 15 years
328,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,1999,All ages
329,0.2,Age,65-74 years,2005,65-74 years
330,0.2,Sex and age,Female: Under 15 years,2013,Under 15 years
331,0.2,Sex and age,Female: 15-24 years,2001,15-24 years
332,0.2,Age,Under 15 years,2018,Under 15 years
333,0.2,Sex and age,Female: Under 15 years,2009,Under 15 years
334,0.2,Sex and age,Female: Under 15 years,2014,Under 15 years
335,0.2,Sex and age,Male: 55-64 years,1999,55-64 years
336,0.2,Sex and age,Female: 25-34 years,1999,25-34 years
337,0.2,Age,75-84 years,2016,75-84 years
338,0.2,Age,Under 15 years,2004,Under 15 years
339,0.2,Age,Under 15 years,2002,Under 15 years
340,0.2,Sex and age,Female: 65-74 years,2003,65-74 years
341,0.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2012,All ages
342,0.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2018,All ages
343,0.2,Sex,Female,2003,All ages
344,0.3,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2000,All ages
345,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2005,All ages
346,0.3,Sex and age,Female: 15-24 years,2001,15-24 years
347,0.3,Sex and race,Male: Asian or Pacific Islander,2005,All ages
348,0.3,Sex and age,Male: 25-34 years,2000,25-34 years
349,0.3,Sex and race,Male: Asian or Pacific Islander,2011,All ages
350,0.3,Sex and age,Female: 25-34 years,2001,25-34 years
351,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2005,All ages
352,0.3,Total,All persons,2001,All ages
353,0.3,Sex and age,Male: 55-64 years,2002,55-64 years
354,0.3,Sex and race,Male: White,2000,All ages
355,0.3,Sex and age,Female: 15-24 years,2000,15-24 years
356,0.3,Sex and age,Female: 55-64 years,2010,55-64 years
357,0.3,Sex and age,Female: 15-24 years,2002,15-24 years
358,0.3,Total,All persons,2001,All ages
359,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2003,All ages
360,0.3,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2014,All ages
361,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2007,All ages
362,0.3,Total,All persons,1999,All ages
363,0.3,Sex and age,Female: 65-74 years,2018,65-74 years
364,0.3,Sex,Female,2005,All ages
365,0.3,Sex and race,Female: White,2005,All ages
366,0.3,Sex and age,Female: 15-24 years,2003,15-24 years
367,0.3,Age,65-74 years,2006,65-74 years
368,0.3,Sex and age,Female: 65-74 years,2004,65-74 years
369,0.3,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2016,All ages
370,0.3,Sex and race,Female: Black or African American,2005,All ages
371,0.3,Age,75-84 years,2003,75-84 years
372,0.3,Sex and age,Male: 65-74 years,2006,65-74 years
373,0.3,Sex and age,Female: 15-24 years,2011,15-24 years
374,0.3,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2012,All ages
375,0.3,Sex and age,Male: 65-74 years,2012,65-74 years
376,0.3,Sex and age,Male: 15-24 years,2003,15-24 years
377,0.3,Sex and age,Female: 65-74 years,2000,65-74 years
378,0.3,Sex and age,Female: 15-24 years,2013,15-24 years
379,0.3,Sex and race,Female: Black or African American,2000,All ages
380,0.3,Sex and race,Female: Asian or Pacific Islander,2016,All ages
381,0.3,Sex and age,Female: 15-24 years,2005,15-24 years
382,0.3,Sex and age,Male: 65-74 years,2009,65-74 years
383,0.3,Age,55-64 years,2000,55-64 years
384,0.3,Sex and age,Male: 65-74 years,2012,65-74 years
385,0.3,Age,65-74 years,2011,65-74 years
386,0.3,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2001,All ages
387,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2003,All ages
388,0.3,Age,55-64 years,2001,55-64 years
389,0.3,Sex and age,Female: 15-24 years,2013,15-24 years
390,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2016,All ages
391,0.3,Sex and age,Male: 65-74 years,2013,65-74 years
392,0.3,Sex,Female,2007,All ages
393,0.3,Sex and race,Female: Black or African American,2003,All ages
394,0.3,Sex and age,Male: 55-64 years,2001,55-64 years
395,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2000,All ages
396,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2001,All ages
397,0.3,Sex and race,Female: Black or African American,2010,All ages
398,0.3,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2009,All ages
399,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2008,All ages
400,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2006,All ages
401,0.3,Total,All persons,1999,All ages
402,0.3,Sex and age,Male: 15-24 years,2000,15-24 years
403,0.3,Sex and race,Female: White,2003,All ages
404,0.3,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2007,All ages
405,0.3,Sex and race,Female: Asian or Pacific Islander,2009,All ages
406,0.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2012,All ages
407,0.3,Age,65-74 years,2007,65-74 years
408,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2003,All ages
409,0.3,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2015,All ages
410,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2002,All ages
411,0.3,Sex,Female,2001,All ages
412,0.3,Sex and age,Female: 75-84 years,2018,75-84 years
413,0.3,Sex and age,Female: 55-64 years,1999,55-64 years
414,0.3,Sex and race,Female: Black or African American,1999,All ages
415,0.3,Sex and race,Female: Asian or Pacific Islander,2011,All ages
416,0.3,Age,55-64 years,2001,55-64 years
417,0.3,Sex and race,Male: Black or African American,2011,All ages
418,0.3,Sex and age,Female: 55-64 years,2011,55-64 years
419,0.3,Sex and race,Female: Black or African American,2004,All ages
420,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2008,All ages
421,0.3,Sex,Female,2001,All ages
422,0.3,Sex and race,Female: Asian or Pacific Islander,2014,All ages
423,0.3,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2012,All ages
424,0.3,Total,All persons,2000,All ages
425,0.3,Sex and age,Female: Under 15 years,2015,Under 15 years
426,0.3,Sex,Female,2000,All ages
427,0.3,Sex and age,Female: 25-34 years,2000,25-34 years
428,0.3,Sex and race,Male: Black or African American,2000,All ages
429,0.3,Sex and race,Female: White,2001,All ages
430,0.3,Sex and age,Female: 15-24 years,2002,15-24 years
431,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2000,All ages
432,0.3,Age,55-64 years,1999,55-64 years
433,0.3,Sex and age,Female: 15-24 years,2004,15-24 years
434,0.3,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2003,All ages
435,0.3,Age,15-24 years,2004,15-24 years
436,0.3,Sex and age,Female: Under 15 years,2017,Under 15 years
437,0.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2000,All ages
438,0.3,Sex and age,Male: 65-74 years,2008,65-74 years
439,0.3,Sex and race,Female: Asian or Pacific Islander,2018,All ages
440,0.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2011,All ages
441,0.3,Sex and age,Female: 55-64 years,2002,55-64 years
442,0.3,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2011,All ages
443,0.3,Sex and race,Female: White,2000,All ages
444,0.3,Sex and race,Female: Black or African American,2008,All ages
